JobSatisfaction;Age;Attrition;DailyRate;DistanceFromHome;HourlyRate;MonthlyIncome;MonthlyRate;NumCompaniesWorked;OverTime;PercentSalaryHike;TrainingTimesLastYear;YearsSinceLastPromotion;NewEmployee;BusinessTravel_g__Travel_Frequently;BusinessTravel_g__Travel_No;BusinessTravel_g__Travel_Rarely;Department_g__Human Resources;Department_g__Research & Development;Department_g__Sales;Education_g__1;Education_g__2;Education_g__3;Education_g__4;Education_g__5;EnvironmentSatisfaction_g__1;EnvironmentSatisfaction_g__2;EnvironmentSatisfaction_g__3;EnvironmentSatisfaction_g__4;Gender_g__Female;Gender_g__Male;JobInvolvement_g__1;JobInvolvement_g__2;JobInvolvement_g__3;JobInvolvement_g__4;MaritalStatus_g__Divorced;MaritalStatus_g__Married;MaritalStatus_g__Single;RelationshipSatisfaction_g__1;RelationshipSatisfaction_g__2;RelationshipSatisfaction_g__3;RelationshipSatisfaction_g__4;WorkLifeBalance_g__1;WorkLifeBalance_g__2;WorkLifeBalance_g__3;WorkLifeBalance_g__4
4.0;0.44666778878609315;1;0.7379902017683647;-1.0118823205255607;1.3432040208551657;-0.09979376395132902;0.7369815793877367;2.1409034338848096;1;-1.1470412439240338;-2.168256150691665;-0.6791556155526715;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0
2.0;1.3188644693849343;0;-1.3000052077485427;-0.15113323451083782;-0.24884352096358078;-0.2830617793238778;1.5011369308230524;-0.6774537089740392;0;2.1365528254875197;0.15256386561369908;-0.36617876211866796;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0
3.0;0.01056944848667263;1;1.409067669543677;-0.8889181653806003;1.246716291047969;-0.9286408833013382;-1.6679679174010436;1.3356585359251383;1;-0.05250988745351596;0.15256386561369908;-0.6791556155526715;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0
3.0;-0.4255288918127479;0;1.4561173813065218;-0.7659540102356398;-0.49006284548157264;-0.7547167760126737;1.2550530040896457;-0.6774537089740392;1;-1.1470412439240338;0.15256386561369908;0.2597749447493389;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0
2.0;-1.406750157486444;0;-0.5273994145902497;-0.8889181653806003;-1.2619646839391467;-0.636006671037871;0.33618012663601526;2.543525882864645;0;-0.8734084048064044;0.15256386561369908;-0.053201908684664546;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0
4.0;-0.534553476887603;0;0.49778904171594673;-0.8889181653806003;0.61954604730119;-0.7209512899822736;-0.33506024102124077;-1.0800761579538747;0;-0.5997755656887749;-0.6210428064880888;0.2597749447493389;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0
1.0;2.4091103201334856;0;1.2877289392079194;-0.7659540102356398;0.7160337771083868;-0.8054711858319543;-0.6025427700792917;0.5304136379654673;1;1.3156543081346315;0.15256386561369908;-0.6791556155526715;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0
3.0;-0.7526026470373133;0;1.3719231602572206;1.8162932478085287;0.040619668458009496;-0.8005868702426512;-0.1279724514189288;-0.6774537089740392;0;1.8629199863698904;-0.6210428064880888;-0.6791556155526715;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0
3.0;0.11959403356152776;0;-1.4560121467516596;1.6933290926635682;-1.0689892243247532;0.6504795828751078;-0.7682411578168316;-1.0800761579538747;0;1.589287147252261;-0.6210428064880888;-0.36617876211866796;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0
3.0;-0.0984551365881825;0;1.225821423730492;2.18518571324341;1.3432040208551657;-0.2603390937562501;0.3284372113211769;1.3356585359251383;0;-0.5997755656887749;0.15256386561369908;1.5116823584853527;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0
2.0;-0.20747972166303763;0;0.012434120372916514;0.8325800066488455;0.8607653718191819;-0.85728740338804;0.3146407440329196;-1.0800761579538747;0;-0.5997755656887749;1.699777209817275;-0.6791556155526715;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0
3.0;-0.8616272321121684;0;-1.6120190857547765;0.7096158515038851;-0.8277698998067613;-0.4820445492011411;-0.21990197324782731;-1.0800761579538747;1;-0.8734084048064044;0.15256386561369908;-0.6791556155526715;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0
3.0;-0.6435780619624581;0;-0.3317716656815794;2.0622215580984493;-1.6961594680715322;-0.7542920529179518;0.13035935953976768;-0.6774537089740392;0;0.494755790781743;-1.3946494785898766;0.5727517981833423;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0
4.0;-0.31650430673789276;0;1.3422075528280555;1.2014724720837267;1.2949601559515673;-0.8073824397582035;-0.7723237858919282;-1.0800761579538747;0;-1.1470412439240338;-0.6210428064880888;-0.36617876211866796;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0
3.0;-0.9706518171870235;1;-1.7358341167096312;1.8162932478085287;-0.779526034903163;-0.9418072992377207;-0.1825951994581518;0.9330360869453028;1;-0.3261427265711454;0.926170537715487;-0.6791556155526715;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0
;-0.8616272321121684;0;1.4486884794492305;1.4474007823736474;-0.7312821699995645;0.7468917253770048;-0.5700225257569708;-0.6774537089740392;0;-1.1470412439240338;-1.3946494785898766;1.824659211919356;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0
2.0;-0.534553476887603;0;-1.1638086736982027;-0.520025699945719;0.6677899122047884;-0.6721081340892421;0.11388806696092982;-1.0800761579538747;1;-0.8734084048064044;1.699777209817275;-0.6791556155526715;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0
4.0;-1.6247993276361543;0;0.7899925147694037;0.8325800066488455;1.4396917506623625;-0.7491953757812876;-0.9742027051915307;-0.6774537089740392;1;-0.5997755656887749;-0.6210428064880888;-0.6791556155526715;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0
4.0;1.7549628096843548;0;1.0277173742027246;-0.8889181653806003;0.5713021823975917;1.9036250738524083;1.0948450472117184;-0.2748312599942037;0;0.22112295166411353;0.15256386561369908;0.2597749447493389;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0
4.0;0.11959403356152776;0;-1.0721855507916103;-0.8889181653806003;-1.0207453594211549;-0.5349225744940318;-1.3990775855584767;0.9330360869453028;1;-1.1470412439240338;0.15256386561369908;-0.36617876211866796;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0
3.0;-1.406750157486444;0;-0.3243427638242881;0.2177592309240434;1.4396917506623625;-0.5206943508208444;-0.8463742123574728;-1.0800761579538747;0;0.7683886298993725;1.699777209817275;-0.36617876211866796;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0
1.0;-0.0984551365881825;1;1.0252410735836275;-0.028169079365877415;0.7642776420119851;-0.6489607254268924;-1.0217864393081735;1.738280984904974;0;2.1365528254875197;0.926170537715487;-0.6791556155526715;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0
